name,twitter_handle,twitter_handle_2,twitter_handle_3,state,party,score,congress_group
Bill Pascrell,PascrellforNJ,BillPascrell,,NJ,D,0.35605,House
Dan Crenshaw,DanCrenshawTX,RepDanCrenshaw,,TX,R,0.35529,House
Lou Correa,RepLouCorrea,voteloucorrea,,CA,D,0.35367,House
Suzan Delbene,SuzanDelBene,RepDelBene,,WA,D,0.35231,House
Dusty Johnson,RepDustyJohnson,DustyJohnson,,SD,R,0.35075,House
Ron Estes,RepRonEstes,RonEstesKS,,KS,R,0.34983,House
Vicky Hartzler,RepHartzler,VickyH4Congress,,MO,R,0.3422,House
Dutch Ruppersberger,Call_Me_Dutch,GoDutchForMD,,MD,D,0.34119,House
David Cicilline,RepCicilline,davidcicilline,,RI,D,0.34039,House
David Schweikert,DavidSchweikert,RepDavid,,AZ,R,0.33982,House
Ted Deutch,TedDeutch,RepTedDeutch,,FL,D,0.33098,House
Jim Baird,RepJimBaird,,,IN,R,0.32969,House
Bill Foster,RepBillFoster,Foster4Congress,,IL,D,0.32769,House
Doris Matsui,DorisMatsui,Matsui4Congress,,CA,D,0.3256,House
Nydia Velazquez,ReElectNydia,NydiaVelazquez,,NY,D,0.31147,House
Ruben Gallego,RubenGallego,RepRubenGallego,,AZ,D,0.31108,House
Adrian Smith,RepAdrianSmith,,,NE,R,0.30817,House
Bruce Westerman,WestermanAR,RepWesterman,,AR,R,0.30209,House
Paul Gosar,DrPaulGosar,RepGosar,,AZ,R,0.29777,House
Greg Stanton,RepGregStanton,gregstantonaz,,AZ,D,0.28692,House
Dan Meuser,RepMeuser,Meuser4Congress,,PA,R,0.28203,House
Brian Higgins,Higgins4WNY,RepBrianHiggins,,NY,D,0.28111,House
Zoe Lofgren,RepZoeLofgren,,,CA,D,0.28064,House
Ken Calvert,KenCalvert,TeamCalvert,,CA,R,0.27601,House
Dan Newhouse,RepNewhouse,,,WA,R,0.27218,House
Ben Ray Lujan,repbenraylujan,benraylujan,,NM,D,0.26132,House
Hakeem Jeffries,hakeem_jeffries,RepJeffries,,NY,D,0.2579,House
Austin Scott,AustinScottGA08,,,GA,R,0.25755,House
Mario Diaz-Balart,MarioDBCamp,MarioDB,,FL,R,0.25606,House
Steve Cohen,ReElectCohen,RepCohen,,TN,D,0.25381,House
Donna Shalala,RepShalala,DonnaShalala,,FL,D,0.24497,House
Larry Bucshon,RepLarryBucshon,,,IN,R,0.24314,House
Lucy Mcbath,lucymcbath,RepLucyMcBath,,GA,D,0.23528,House
T.J. Cox,TJCoxCongress,RepTjCox,,CA,D,0.23256,House
Marcy Kaptur,Marcy_Kaptur,RepMarcyKaptur,,OH,D,0.23253,House
Steven Palazzo,StevenPalazzo,CongPalazzo,,MS,R,0.22813,House
Suzanne Bonamici,RepBonamici,,,OR,D,0.22484,House
Rob Wittman,RobWittman,ReElectWittman,,VA,R,0.22308,House
Diana Degette,RepDianaDeGette,DeGette5280,,CO,D,0.21696,House
Doug Lamalfa,RepLaMalfa,,,CA,R,0.21468,House
Lloyd Smucker,RepSmucker,LloydSmuckerPA,,PA,R,0.21217,House
Raja Krishnamoorthi,CongressmanRaja,RajaForCongress,,IL,D,0.21083,House
Ed Case,RepEdCase,,,HI,D,0.20774,House
Donald Norcross,DonaldNorcross,,,NJ,D,0.20157,House
Bobby Rush,RepBobbyRush,,,IL,D,0.1977,House
Ed Perlmutter,RepPerlmutter,Ed4Colorado,,CO,D,0.19111,House
Michael Doyle,USRepMikeDoyle,,,PA,D,0.18481,House
Greg Walden,votegregwalden,repgregwalden,,OR,R,0.18453,House
Carolyn Maloney,CarolynBMaloney,RepMaloney,,NY,D,0.1833,House
Salud Carbajal,RepCarbajal,carbajalsalud,,CA,D,0.17887,House
Mike Quigley,RepMikeQuigley,,,IL,D,0.17783,House
Morgan Griffith,RepMGriffith,MorganGriffith,,VA,R,0.17441,House
Kim Schrier,RepKimSchrier,DrKimSchrier,,WA,D,0.16952,House
Ro Khanna,RoKhanna,RepRoKhanna,,CA,D,0.16045,House
Garret Graves,garretgraves,RepGarretGraves,,LA,R,0.1545,House
Mark Amodei,MarkAmodeiNV2,,,NV,R,0.15312,House
Julia Brownley,RepBrownley,JuliaBrownley,,CA,D,0.15308,House
Glenn Grothman,GrothmanforWI,RepGrothman,,WI,R,0.13425,House
John Moolenaar,RepMoolenaar,,,MI,R,0.12994,House
French Hill,RepFrenchHill,,,AR,R,0.12919,House
Jackie Speier,RepSpeier,JackieSpeier,,CA,D,0.12298,House
Danny Davis,RepDannyDavis,,,IL,D,0.11383,House
Anna Eshoo,RepAnnaEshoo,Eshoo4Congress,,CA,D,0.11088,House
Richard Hudson,RichHudson,RepRichHudson,,NC,R,0.09517,House
